Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NDTV.NS,NDTV.NS,NDTV.NS,NDTV.NS,NDTV.NS,NDTV.NS
Date,,,,,,
2022-01-03,114.94999694824219,114.94999694824219,119.0,112.94999694824219,115.94999694824219,97209
2022-01-04,114.25,114.25,116.9000015258789,113.0,113.5999984741211,67758
2022-01-05,125.6500015258789,125.6500015258789,125.6500015258789,113.8499984741211,114.94999694824219,422314
2022-01-06,119.94999694824219,119.94999694824219,127.94999694824219,119.0,126.0,285598
2022-01-07,120.05000305175781,120.05000305175781,123.9000015258789,119.19999694824219,121.69999694824219,185538
2022-01-10,120.05000305175781,120.05000305175781,122.25,118.80000305175781,120.05000305175781,101161
2022-01-11,119.69999694824219,119.69999694824219,124.80000305175781,119.0,122.3499984741211,122239
2022-01-12,120.0,120.0,122.6500015258789,119.30000305175781,120.4000015258789,77733
2022-01-13,119.94999694824219,119.94999694824219,124.0,119.0,120.1500015258789,100071
2022-01-14,118.9000015258789,118.9000015258789,120.9000015258789,118.44999694824219,119.5999984741211,63632
2022-01-17,117.4000015258789,117.4000015258789,119.9000015258789,117.0,119.4000015258789,61732
2022-01-18,115.5999984741211,115.5999984741211,119.19999694824219,115.0999984741211,118.9000015258789,53267
2022-01-19,117.30000305175781,117.30000305175781,118.5999984741211,114.19999694824219,115.0,62017
2022-01-20,119.80000305175781,119.80000305175781,122.0,115.94999694824219,117.94999694824219,104437
2022-01-21,114.4000015258789,114.4000015258789,120.0,113.1500015258789,120.0,70564
2022-01-24,106.69999694824219,106.69999694824219,115.69999694824219,103.0,114.9000015258789,116820
2022-01-25,108.80000305175781,108.80000305175781,112.5,101.05000305175781,101.05000305175781,58060
2022-01-27,117.5999984741211,117.5999984741211,119.6500015258789,104.0,108.05000305175781,292232
2022-01-28,112.8499984741211,112.8499984741211,119.0,112.0,117.55000305175781,121497
2022-01-31,111.0,111.0,115.3499984741211,109.80000305175781,114.55000305175781,52075
2022-02-01,110.9000015258789,110.9000015258789,114.75,110.05000305175781,112.25,48570
2022-02-02,112.05000305175781,112.05000305175781,114.80000305175781,111.05000305175781,111.8499984741211,69304
2022-02-03,115.1500015258789,115.1500015258789,118.80000305175781,112.0999984741211,113.5,153293
2022-02-04,112.94999694824219,112.94999694824219,116.25,111.8499984741211,116.25,40239
2022-02-07,120.80000305175781,120.80000305175781,124.6500015258789,113.0,114.55000305175781,254010
2022-02-08,115.5999984741211,115.5999984741211,121.9000015258789,112.8499984741211,121.9000015258789,98562
2022-02-09,117.4000015258789,117.4000015258789,121.0,113.4000015258789,116.19999694824219,116817
2022-02-10,140.85000610351562,140.85000610351562,140.85000610351562,121.55000305175781,125.0,1612943
2022-02-11,161.1999969482422,161.1999969482422,169.0,136.25,143.0,4964626
2022-02-14,174.3000030517578,174.3000030517578,177.3000030517578,147.64999389648438,158.5,3358604
2022-02-15,156.89999389648438,156.89999389648438,186.0,156.89999389648438,175.5,2056905
2022-02-16,165.85000610351562,165.85000610351562,172.5500030517578,156.0,160.0,1094226
2022-02-17,163.60000610351562,163.60000610351562,173.0,161.5,171.0,505351
2022-02-18,164.64999389648438,164.64999389648438,175.9499969482422,160.85000610351562,163.6999969482422,587911
2022-02-21,162.39999389648438,162.39999389648438,174.0,160.75,169.89999389648438,343819
2022-02-22,150.85000610351562,150.85000610351562,160.5,146.1999969482422,153.35000610351562,304190
2022-02-23,149.6999969482422,149.6999969482422,160.0,148.5,153.3000030517578,185300
2022-02-24,135.5,135.5,149.6999969482422,135.0,146.0,250026
