Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UBER,UBER,UBER,UBER,UBER,UBER
Date,,,,,,
2024-01-02,58.380001068115234,58.380001068115234,60.90999984741211,57.93000030517578,60.72999954223633,41978600
2024-01-03,58.25,58.25,58.89500045776367,57.33000183105469,57.47999954223633,31800600
2024-01-04,57.79999923706055,57.79999923706055,58.98500061035156,57.72999954223633,58.25,20370700
2024-01-05,57.58000183105469,57.58000183105469,58.5099983215332,57.220001220703125,58.11000061035156,17875200
2024-01-08,59.0099983215332,59.0099983215332,59.15999984741211,57.849998474121094,58.09000015258789,21213000
2024-01-09,60.29999923706055,60.29999923706055,60.540000915527344,58.45000076293945,58.5,22319900
2024-01-10,62.40999984741211,62.40999984741211,62.61000061035156,60.279998779296875,60.279998779296875,30788900
2024-01-11,63.470001220703125,63.470001220703125,63.61000061035156,61.86000061035156,62.9900016784668,28888900
2024-01-12,63.20000076293945,63.20000076293945,64.91999816894531,63.0,63.20000076293945,26367100
2024-01-16,63.650001525878906,63.650001525878906,64.0,62.91999816894531,63.0,19511800
2024-01-17,63.119998931884766,63.119998931884766,63.41999816894531,61.68000030517578,62.95000076293945,19971600
2024-01-18,64.87999725341797,64.87999725341797,65.0,63.3849983215332,64.0,24149900
2024-01-19,65.11000061035156,65.11000061035156,65.38500213623047,64.41000366210938,64.9000015258789,20332900
2024-01-22,64.55000305175781,64.55000305175781,65.61000061035156,64.1500015258789,65.44000244140625,17851700
2024-01-23,64.31999969482422,64.31999969482422,64.80999755859375,63.689998626708984,64.5,13619600
2024-01-24,63.7599983215332,63.7599983215332,64.39700317382812,63.220001220703125,64.0,17238100
2024-01-25,66.0,66.0,66.02999877929688,63.709999084472656,64.27999877929688,21963000
2024-01-26,65.5199966430664,65.5199966430664,66.04499816894531,65.29000091552734,65.6500015258789,13099600
2024-01-29,66.9800033569336,66.9800033569336,67.0999984741211,65.55999755859375,65.5999984741211,15902000
2024-01-30,66.83999633789062,66.83999633789062,67.69000244140625,66.22000122070312,66.9000015258789,17562100
2024-01-31,65.2699966430664,65.2699966430664,66.25,64.84500122070312,65.69999694824219,17026400
2024-02-01,66.7300033569336,66.7300033569336,66.8499984741211,65.58999633789062,66.12000274658203,12504200
2024-02-02,68.06999969482422,68.06999969482422,68.25,66.51000213623047,66.9800033569336,18642700
2024-02-05,68.98999786376953,68.98999786376953,69.98999786376953,67.8550033569336,68.23999786376953,26079500
2024-02-06,70.47000122070312,70.47000122070312,70.68000030517578,68.44000244140625,69.05999755859375,34464000
2024-02-07,70.6500015258789,70.6500015258789,71.9000015258789,67.23999786376953,67.59500122070312,43367000
2024-02-08,71.61000061035156,71.61000061035156,73.05000305175781,71.19499969482422,71.93000030517578,21618200
2024-02-09,70.91000366210938,70.91000366210938,72.04000091552734,69.69000244140625,71.43000030517578,20858700
2024-02-12,69.12000274658203,69.12000274658203,71.37999725341797,68.73500061035156,71.0,19554900
2024-02-13,68.98999786376953,68.98999786376953,69.55000305175781,66.70999908447266,67.8949966430664,22857100
2024-02-14,79.1500015258789,79.1500015258789,79.19999694824219,74.30999755859375,74.5999984741211,69846700
2024-02-15,81.38999938964844,81.38999938964844,81.86499786376953,78.27999877929688,79.0,40330200
2024-02-16,78.41000366210938,78.41000366210938,80.87999725341797,78.11000061035156,80.55000305175781,24442600
2024-02-20,76.5999984741211,76.5999984741211,78.41999816894531,75.81999969482422,78.2300033569336,24203100
2024-02-21,76.44000244140625,76.44000244140625,77.48999786376953,75.875,76.31999969482422,15102100
2024-02-22,78.02999877929688,78.02999877929688,79.72000122070312,77.51000213623047,79.58999633789062,16766400
2024-02-23,78.19999694824219,78.19999694824219,78.97000122070312,77.72000122070312,78.5,15648800
2024-02-26,78.36000061035156,78.36000061035156,78.5,77.30000305175781,78.27999877929688,16617300
2024-02-27,78.75,78.75,79.75,77.81300354003906,78.63999938964844,13707300
2024-02-28,77.7300033569336,77.7300033569336,78.66000366210938,77.41999816894531,78.5999984741211,11853100
2024-02-29,79.5,79.5,79.68000030517578,77.93000030517578,78.3499984741211,19405500
2024-03-01,81.02999877929688,81.02999877929688,81.47000122070312,79.31999969482422,79.5,18520800
2024-03-04,81.30000305175781,81.30000305175781,82.13999938964844,80.79000091552734,81.94000244140625,15989200
2024-03-05,79.08999633789062,79.08999633789062,80.8499984741211,77.43000030517578,80.83000183105469,19761600
2024-03-06,78.63999938964844,78.63999938964844,80.98999786376953,78.52999877929688,80.16999816894531,13734700
2024-03-07,79.41000366210938,79.41000366210938,80.07499694824219,78.26000213623047,79.4000015258789,13873300
2024-03-08,78.69999694824219,78.69999694824219,81.9800033569336,78.20999908447266,79.94000244140625,16409100
2024-03-11,77.47000122070312,77.47000122070312,78.88999938964844,76.52999877929688,78.69999694824219,13781400
2024-03-12,78.31999969482422,78.31999969482422,78.4800033569336,77.4800033569336,78.01000213623047,11303800
2024-03-13,78.25,78.25,79.69100189208984,77.93000030517578,78.0,12065100
2024-03-14,77.6500015258789,77.6500015258789,78.4800033569336,76.9000015258789,78.33999633789062,12737200
2024-03-15,76.06999969482422,76.06999969482422,77.83999633789062,75.7699966430664,77.0,24552000
2024-03-18,75.69999694824219,75.69999694824219,77.0,73.66000366210938,77.0,18936700
2024-03-19,77.08000183105469,77.08000183105469,77.18000030517578,74.19000244140625,75.37999725341797,13035200
2024-03-20,78.63999938964844,78.63999938964844,78.94999694824219,76.75,77.08999633789062,11490400
2024-03-21,80.25,80.25,81.2300033569336,79.08999633789062,79.5999984741211,16191100
2024-03-22,80.2300033569336,80.2300033569336,80.44999694824219,79.19999694824219,79.80000305175781,8863500
2024-03-25,79.41000366210938,79.41000366210938,81.04000091552734,79.38999938964844,79.98999786376953,10254300
2024-03-26,77.91000366210938,77.91000366210938,80.18000030517578,77.77999877929688,79.80000305175781,12438300
2024-03-27,78.11000061035156,78.11000061035156,79.0,76.8499984741211,78.95999908447266,13157000
2024-03-28,76.98999786376953,76.98999786376953,78.05000305175781,76.8949966430664,77.9000015258789,13421900
2024-04-01,76.4000015258789,76.4000015258789,77.77999877929688,76.0,77.0,12201800
2024-04-02,76.9800033569336,76.9800033569336,77.33000183105469,74.97000122070312,75.66000366210938,15838800
2024-04-03,76.80999755859375,76.80999755859375,78.8499984741211,76.54000091552734,76.83999633789062,19883100
2024-04-04,74.91999816894531,74.91999816894531,77.66999816894531,74.4800033569336,77.23999786376953,17191300
2024-04-05,77.16000366210938,77.16000366210938,78.3949966430664,74.91999816894531,75.33999633789062,21541300
2024-04-08,75.02999877929688,75.02999877929688,76.86000061035156,73.94999694824219,76.69999694824219,22867600
2024-04-09,75.13999938964844,75.13999938964844,75.5,73.33000183105469,74.7699966430664,13766800
2024-04-10,74.3499984741211,74.3499984741211,75.30500030517578,73.53500366210938,74.4000015258789,12533900
2024-04-11,76.18000030517578,76.18000030517578,76.55999755859375,74.70500183105469,74.80000305175781,13653600
2024-04-12,75.27999877929688,75.27999877929688,75.81999969482422,74.48999786376953,75.05000305175781,11582600
2024-04-15,73.4000015258789,73.4000015258789,76.68000030517578,72.87999725341797,76.37999725341797,16093400
2024-04-16,74.12999725341797,74.12999725341797,74.69999694824219,72.69999694824219,73.38999938964844,14513100
2024-04-17,71.94000244140625,71.94000244140625,75.61499786376953,71.04000091552734,75.0,15363100
2024-04-18,71.30000305175781,71.30000305175781,72.8550033569336,70.63999938964844,72.26000213623047,20426000
2024-04-19,69.19999694824219,69.19999694824219,71.1500015258789,68.37999725341797,71.1500015258789,23087600
2024-04-22,68.9800033569336,68.9800033569336,70.88999938964844,68.4800033569336,70.4800033569336,26804900
2024-04-23,70.80000305175781,70.80000305175781,71.13999938964844,69.62000274658203,70.0199966430664,16814200
2024-04-24,69.36000061035156,69.36000061035156,70.22000122070312,67.36499786376953,70.1500015258789,27515600
2024-04-25,69.30999755859375,69.30999755859375,70.29000091552734,67.37999725341797,67.86000061035156,20545200
2024-04-26,69.05000305175781,69.05000305175781,70.1500015258789,68.69999694824219,69.9749984741211,16187600
2024-04-29,67.4000015258789,67.4000015258789,68.66000366210938,67.19999694824219,68.5,20102600
